"","instanceID","wallTime","clients","threads","duration","transactions","set","vmID"
"398","i-0e00d4cf86fbf8056",60.304301738739,10,10,"60 s",70814,13,9
"399","i-0e00d4cf86fbf8056",60.2530517578125,10,10,"60 s",71974,13,9
"400","i-0e00d4cf86fbf8056",60.2204146385193,10,10,"60 s",69953,14,9
"401","i-0e00d4cf86fbf8056",60.2716703414917,10,10,"60 s",71630,14,9
"402","i-0e00d4cf86fbf8056",60.2438855171204,10,10,"60 s",70465,14,9
"403","i-0e00d4cf86fbf8056",60.2810690402985,10,10,"60 s",69989,15,9
"404","i-0e00d4cf86fbf8056",60.3187959194183,10,10,"60 s",67128,15,9
"405","i-0e00d4cf86fbf8056",60.2724952697754,10,10,"60 s",70225,15,9
"406","i-0e00d4cf86fbf8056",60.3209247589111,10,10,"60 s",69412,16,9
"407","i-0e00d4cf86fbf8056",60.2889029979706,10,10,"60 s",69407,16,9
"408","i-0e00d4cf86fbf8056",60.3146350383759,10,10,"60 s",67283,16,9
"88","i-03a4df6a6aa905310",60.3904554843903,10,10,"60 s",81195,9,8
"89","i-03a4df6a6aa905310",60.2861759662628,10,10,"60 s",81306,9,8
"90","i-03a4df6a6aa905310",60.2522456645966,10,10,"60 s",81788,9,8
"91","i-03a4df6a6aa905310",60.2540469169617,10,10,"60 s",82074,10,8
"92","i-03a4df6a6aa905310",60.2504615783691,10,10,"60 s",80990,10,8
"93","i-03a4df6a6aa905310",60.2354989051819,10,10,"60 s",80027,10,8
"94","i-03a4df6a6aa905310",60.3889133930206,10,10,"60 s",79437,11,8
"95","i-03a4df6a6aa905310",60.2720513343811,10,10,"60 s",79213,11,8
"96","i-03a4df6a6aa905310",60.2278232574463,10,10,"60 s",79068,11,8
"97","i-03a4df6a6aa905310",60.2998511791229,10,10,"60 s",77934,12,8
"98","i-03a4df6a6aa905310",60.2614855766296,10,10,"60 s",77864,12,8
"99","i-03a4df6a6aa905310",60.2789902687073,10,10,"60 s",78161,12,8
"100","i-03a4df6a6aa905310",60.2245178222656,10,10,"60 s",74236,13,8
"101","i-03a4df6a6aa905310",60.2891113758087,10,10,"60 s",74064,13,8
"102","i-03a4df6a6aa905310",60.2695624828339,10,10,"60 s",75139,13,8
"103","i-03a4df6a6aa905310",60.2391023635864,10,10,"60 s",73035,14,8
"104","i-03a4df6a6aa905310",60.3040792942047,10,10,"60 s",70318,14,8
"105","i-03a4df6a6aa905310",60.2639610767365,10,10,"60 s",72642,14,8
"106","i-03a4df6a6aa905310",60.3360240459442,10,10,"60 s",74134,15,8
"107","i-03a4df6a6aa905310",60.2809069156647,10,10,"60 s",73366,15,8
"108","i-03a4df6a6aa905310",60.2841217517853,10,10,"60 s",73318,15,8
"109","i-03a4df6a6aa905310",60.2944602966309,10,10,"60 s",72214,16,8
"110","i-03a4df6a6aa905310",60.3316543102264,10,10,"60 s",72497,16,8
"111","i-03a4df6a6aa905310",60.3129866123199,10,10,"60 s",71959,16,8
"37","i-0b908086d4da7204d",60.3713018894196,10,10,"60 s",77277,10,7
"38","i-0b908086d4da7204d",60.2182486057281,10,10,"60 s",77547,10,7
"39","i-0b908086d4da7204d",60.2416436672211,10,10,"60 s",77734,10,7
"40","i-0b908086d4da7204d",60.2497525215149,10,10,"60 s",75532,11,7
"41","i-0b908086d4da7204d",60.2638008594513,10,10,"60 s",74630,11,7
"42","i-0b908086d4da7204d",60.2601635456085,10,10,"60 s",77794,11,7
"43","i-0b908086d4da7204d",60.2759799957275,10,10,"60 s",74382,12,7
"44","i-0b908086d4da7204d",60.2275650501251,10,10,"60 s",74553,12,7
"45","i-0b908086d4da7204d",60.2127115726471,10,10,"60 s",74501,12,7
"46","i-0b908086d4da7204d",60.330057144165,10,10,"60 s",73515,13,7
"47","i-0b908086d4da7204d",60.2365877628326,10,10,"60 s",71969,13,7
